nick	n_matches	Assassin_avg_goldEarned	Assassin_var_goldEarned	Assassin_avg_kills	Assassin_var_kills	Assassin_avg_deaths	Assassin_var_deaths	Assassin_avg_assists	Assassin_var_assists	Assassin_avg_totalDamageTaken	Assassin_var_totalDamageTaken	Assassin_avg_totalMinionsKilled	Assassin_var_totalMinionsKilled	Assassin_avg_visionScore	Assassin_var_visionScore	Assassin_avg_visionWardsBoughtInGame	Assassin_var_visionWardsBoughtInGame	Assassin_avg_gameDuration	Assassin_var_gameDuration	Assassin_won	Assassin_weight	Fighter_avg_goldEarned	Fighter_var_goldEarned	Fighter_avg_kills	Fighter_var_kills	Fighter_avg_deaths	Fighter_var_deaths	Fighter_avg_assists	Fighter_var_assists	Fighter_avg_totalDamageTaken	Fighter_var_totalDamageTaken	Fighter_avg_totalMinionsKilled	Fighter_var_totalMinionsKilled	Fighter_avg_visionScore	Fighter_var_visionScore	Fighter_avg_visionWardsBoughtInGame	Fighter_var_visionWardsBoughtInGame	Fighter_avg_gameDuration	Fighter_var_gameDuration	Fighter_won	Fighter_weight	Mage_avg_goldEarned	Mage_var_goldEarned	Mage_avg_kills	Mage_var_kills	Mage_avg_deaths	Mage_var_deaths	Mage_avg_assists	Mage_var_assists	Mage_avg_totalDamageTaken	Mage_var_totalDamageTaken	Mage_avg_totalMinionsKilled	Mage_var_totalMinionsKilled	Mage_avg_visionScore	Mage_var_visionScore	Mage_avg_visionWardsBoughtInGame	Mage_var_visionWardsBoughtInGame	Mage_avg_gameDuration	Mage_var_gameDuration	Mage_won	Mage_weight	Marksman_avg_goldEarned	Marksman_var_goldEarned	Marksman_avg_kills	Marksman_var_kills	Marksman_avg_deaths	Marksman_var_deaths	Marksman_avg_assists	Marksman_var_assists	Marksman_avg_totalDamageTaken	Marksman_var_totalDamageTaken	Marksman_avg_totalMinionsKilled	Marksman_var_totalMinionsKilled	Marksman_avg_visionScore	Marksman_var_visionScore	Marksman_avg_visionWardsBoughtInGame	Marksman_var_visionWardsBoughtInGame	Marksman_avg_gameDuration	Marksman_var_gameDuration	Marksman_won	Marksman_weight	Support_avg_goldEarned	Support_var_goldEarned	Support_avg_kills	Support_var_kills	Support_avg_deaths	Support_var_deaths	Support_avg_assists	Support_var_assists	Support_avg_totalDamageTaken	Support_var_totalDamageTaken	Support_avg_totalMinionsKilled	Support_var_totalMinionsKilled	Support_avg_visionScore	Support_var_visionScore	Support_avg_visionWardsBoughtInGame	Support_var_visionWardsBoughtInGame	Support_avg_gameDuration	Support_var_gameDuration	Support_won	Support_weight	Tank_avg_goldEarned	Tank_var_goldEarned	Tank_avg_kills	Tank_var_kills	Tank_avg_deaths	Tank_var_deaths	Tank_avg_assists	Tank_var_assists	Tank_avg_totalDamageTaken	Tank_var_totalDamageTaken	Tank_avg_totalMinionsKilled	Tank_var_totalMinionsKilled	Tank_avg_visionScore	Tank_var_visionScore	Tank_avg_visionWardsBoughtInGame	Tank_var_visionWardsBoughtInGame	Tank_avg_gameDuration	Tank_var_gameDuration	Tank_won	Tank_weight	solo_q_tier	solo_q_division	flex_tier	flex_division
Zinuhadre	49	11232.0	657062.0	7.33333333333	6.22222222222	5.0	2.66666666667	8.66666666667	0.222222222222	25024.0	107595224.667	90.0	1584.66666667	0.0	0.0	0.0	0.0	1920.0	5954.0	2	3	13830.4705882	14855667.308	7.52941176471	37.0726643599	6.29411764706	5.03114186851	8.17647058824	31.6747404844	31831.8235294	145352720.734	157.823529412	5911.67474048	0.0	0.0	0.294117647059	0.207612456747	2225.0	213466.470588	7	17	12159.3333333	2910992.88889	5.66666666667	3.55555555556	6.33333333333	4.22222222222	10.0	4.66666666667	14856.6666667	3227394.88889	153.0	398.0	0.0	0.0	0.666666666667	0.222222222222	2083.66666667	46341.5555556	2	3	11313.1666667	39309205.1389	7.16666666667	62.4722222222	3.5	6.91666666667	6.33333333333	42.8888888889	15181.6666667	100831072.222	165.5	7784.58333333	0.0	0.0	0.0	0.0	1737.66666667	695537.555556	3	6	7691.0	0.0	2.0	0.0	7.0	0.0	11.0	0.0	26736.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	1690.0	0.0	0	1	10871.6315789	14541558.0222	4.05263157895	7.83933518006	3.68421052632	4.63711911357	9.42105263158	40.4542936288	21865.3684211	162861203.285	117.842105263	5725.71191136	0.0	0.0	0.263157894737	0.193905817175	1874.15789474	354357.922438	13	19	SILVER	IV	BRONZE	IV	
zinho1	92	7863.0	0.0	3.0	0.0	6.0	0.0	3.0	0.0	24086.0	0.0	12.0	0.0	0.0	0.0	3.0	0.0	1751.0	0.0	0	1	11217.3333333	28661351.2222	7.0	23.3333333333	4.66666666667	14.5555555556	10.0	47.6666666667	34009.5	584798505.917	97.0	2632.66666667	0.0	0.0	1.16666666667	1.47222222222	1902.66666667	782803.888889	3	6	11233.1904762	22373973.0113	6.90476190476	19.4195011338	5.38095238095	10.9024943311	9.90476190476	56.5623582766	26576.3809524	249759854.902	123.428571429	2678.14965986	0.0	0.0	1.09523809524	0.848072562358	1938.52380952	547006.439909	13	21	13072.3333333	16858242.8889	7.71428571429	30.4897959184	5.71428571429	6.48979591837	11.0476190476	23.8548752834	19870.4285714	56166442.2449	150.80952381	2790.82086168	0.0	0.0	0.52380952381	0.439909297052	2131.76190476	186721.705215	10	21	9289.22222222	3341609.50617	2.66666666667	2.66666666667	6.11111111111	7.43209876543	13.4444444444	36.024691358	21889.1111111	59600425.2099	25.1111111111	89.8765432099	0.0	0.0	1.22222222222	1.06172839506	1919.88888889	174690.098765	4	9	9800.97058824	21134928.558	4.73529411765	15.2534602076	4.94117647059	9.76124567474	9.70588235294	50.5017301038	25583.0	199591289.882	91.3529411765	3202.75778547	0.0	0.0	0.735294117647	0.48875432526	1819.02941176	548954.08737	15	34	BRONZE	I	BRONZE	I	
zikinha011	218	10951.05	16266808.0975	7.225	20.674375	8.75	9.7875	4.725	12.349375	24509.45	90002783.4475	115.625	5095.384375	15.475	81.749375	1.025	0.724375	1841.375	228546.884375	14	40	10229.2539683	17519588.5069	5.1746031746	15.3187200806	8.34920634921	14.4812295288	5.77777777778	19.9188712522	27696.5079365	161792217.044	89.5873015873	5270.40110859	15.6825396825	260.756361804	1.07936507937	0.834971025447	1773.61904762	342310.45805	27	63	9857.75	10872188.9375	5.1875	17.02734375	7.9375	13.93359375	6.5	19.125	18925.125	81410486.8594	115.125	2215.109375	6.6875	69.71484375	0.375	0.359375	1743.1875	263182.027344	8	16	11443.3544304	20813564.7605	6.87341772152	30.0346098382	7.36708860759	12.7639801314	7.16455696203	21.1248197404	21469.0632911	76695580.0593	146.936708861	3983.47700689	8.63291139241	91.5741067137	0.784810126582	0.447364204454	1783.69620253	319374.135555	39	79	9718.0	8812900.0	1.81818181818	1.78512396694	8.36363636364	13.5041322314	13.3636363636	35.867768595	25838.2727273	162219959.289	24.5454545455	277.520661157	11.1818181818	185.966942149	1.09090909091	0.628099173554	1947.63636364	306629.504132	5	11	12855.6666667	20882921.3333	4.11111111111	12.7654320988	9.11111111111	12.5432098765	12.4444444444	48.2469135802	43679.3333333	345029056.0	85.7777777778	3514.83950617	17.5555555556	358.24691358	1.33333333333	0.666666666667	2376.11111111	314324.765432	2	9	SILVER	V	BRONZE	III	
zikamemo602	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10841.1388889	30941757.7307	6.30555555556	23.3788580247	5.05555555556	13.6635802469	5.80555555556	25.4344135802	28376.2777778	339577342.59	149.777777778	7034.95061728	7.33333333333	81.2222222222	0.25	0.354166666667	1790.08333333	748001.076389	19	36	11577.0434783	10460473.0851	7.52173913043	17.5538752363	5.86956521739	9.85255198488	6.26086956522	16.9754253308	19578.2608696	83469559.1493	160.0	1382.52173913	3.60869565217	34.7599243856	0.0434782608696	0.0415879017013	1850.65217391	164947.618147	10	23	14968.8	27282810.56	13.6	53.44	8.0	8.8	8.4	15.44	23849.6	120710977.44	182.2	4253.36	9.0	39.6	0.0	0.0	2172.4	383225.84	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5199.0	0.0	1.0	1.0	6.0	1.0	3.5	0.25	17455.5	12302556.25	18.0	4.0	0.0	0.0	0.0	0.0	1405.5	10712.25	0	2	BRONZE	III	BRONZE	III	
Zhoom	829	13090.9430894	16214901.9724	9.41463414634	25.0719809637	5.15447154472	6.50459382643	6.38211382114	15.6344768326	25806.2357724	101510886.424	90.8861788618	6743.77566263	4.18699186992	153.469099081	0.365853658537	0.345825897283	1943.64227642	273186.961465	65	123	12062.7243243	14827931.4213	7.58918918919	19.9825858291	5.01621621622	6.81595325055	6.62162162162	16.3108838568	26234.7081081	114320228.099	73.1567567568	5116.65110299	4.62702702703	139.552783053	0.324324324324	0.305624543462	1837.0972973	231812.574317	94	185	12295.6869565	17847707.7281	7.07826086957	21.3069187146	4.99130434783	8.26948960302	7.74782608696	21.9103213611	15831.8	64798947.2904	157.617391304	7909.54056711	2.28695652174	119.422003781	0.521739130435	0.493005671078	1819.69565217	329762.437807	68	115	13010.4328859	20353085.7824	7.69463087248	26.8966825819	4.78523489933	7.81293635422	7.05369127517	17.4199360389	17175.8959732	66080183.7174	204.624161074	4680.55673168	5.37919463087	135.732050358	0.157718120805	0.159688752759	1849.69463087	268370.594669	159	298	9172.59677419	13860321.2729	2.0	2.67741935484	4.29032258065	6.75442247659	13.8387096774	72.1997918835	18998.3064516	108440759.729	40.0967741935	358.764828304	27.8548387097	1346.15634755	1.67741935484	1.1540062435	1799.5483871	432967.925078	34	62	11536.0	16723333.0435	5.45652173913	13.0307183365	4.13043478261	8.02646502836	9.9347826087	32.2348771267	28901.0869565	132197157.166	85.1739130435	7582.49149338	5.58695652174	337.242438563	0.586956521739	1.02504725898	1882.82608696	321218.448015	26	46	DIAMOND	V	DIAMOND	III	
Zhodd	1215	12508.2631579	22306425.3284	8.84795321637	29.7780513662	6.26315789474	12.7436134195	5.23391812865	15.3721828939	26166.5497076	149803254.715	155.029239766	5990.68335556	2.68421052632	68.1809787627	0.327485380117	0.465852741014	1773.50292398	327789.665196	94	171	11997.6891192	16090562.1831	6.55958549223	17.9148433515	6.22797927461	8.70450213429	5.44041450777	16.1635480147	27489.1502591	181410012.77	121.165803109	6147.89997047	1.09844559585	27.3219146823	0.165803108808	0.252302075223	1811.38860104	260486.62101	83	193	12624.9910314	16271553.8295	7.30044843049	19.349192624	5.86098654709	9.43807436305	6.47085201794	17.6661907539	20707.2780269	79384618.0034	185.66367713	3787.05729051	6.08968609865	190.673570753	0.412556053812	0.816344587665	1840.87892377	243451.344085	108	223	12744.9052925	20672978.4311	7.41504178273	23.6633949147	6.02228412256	10.1443502145	6.93871866295	19.2831526757	19522.1086351	81586021.4784	188.064066852	4445.48614613	2.95821727019	72.5748558748	0.259052924791	0.269938935918	1844.52367688	306713.302364	177	359	9856.6173913	10912305.0188	2.42608695652	5.5141020794	4.38260869565	7.62752362949	13.0434782609	53.2415879017	17485.5217391	82834307.9191	37.4434782609	1330.92506616	4.70434782609	249.529981096	3.2347826087	10.8927032136	1833.77391304	274773.374972	62	115	10981.5519481	14433611.0785	4.28571428571	10.7105751391	4.07792207792	6.77314892899	10.0714285714	42.650742115	28879.8636364	214894457.092	88.6168831169	4802.0025721	2.72077922078	133.993464328	0.896103896104	1.91128352167	1795.98701299	289681.584247	93	154	PLATINUM	II	PLATINUM	II	
zHeroi3	523	12588.4439655	18260710.8589	7.18965517241	22.653686088	4.81034482759	11.7743757432	7.68965517241	24.0243757432	32769.6163793	263127555.107	67.0948275862	1727.80997325	2.51724137931	71.8359096314	1.17672413793	0.671354785969	1931.04741379	311256.614131	135	232	11579.24	21381590.0864	6.096	17.798784	5.952	11.933696	6.864	19.285504	31822.296	280213589.2	90.744	5694.126464	1.28	33.2896	0.832	0.619776	1834.92	443189.3056	75	125	10476.25	22479120.5208	4.91666666667	18.5763888889	7.08333333333	15.0763888889	8.33333333333	52.8888888889	26905.8333333	182967176.972	67.4166666667	1500.24305556	0.833333333333	7.63888888889	0.916666666667	0.909722222222	1898.5	526044.583333	4	12	9211.85714286	17551681.6939	4.35714285714	15.3724489796	7.57142857143	14.1020408163	4.21428571429	8.02551020408	19320.0	66582073.5714	125.5	4864.53571429	0.0	0.0	0.571428571429	0.387755102041	1640.64285714	319212.086735	3	14	9234.3125	9614000.58984	1.1875	2.02734375	5.875	9.484375	17.25	88.0625	27241.5625	120851531.621	39.4375	94.24609375	11.6875	504.71484375	1.875	1.234375	1922.625	261017.609375	7	16	9717.60483871	15793471.5293	3.14516129032	11.1724765869	5.20967741935	11.4237773153	11.7258064516	49.6344953174	26523.0806452	227233138.106	68.1693548387	3488.78583507	3.12096774194	129.91278616	1.16129032258	0.861082206035	1819.0	438576.790323	75	124	GOLD	V	SILVER	III	
Zhane	1329	7186.5	21628595.25	2.0	2.5	4.75	19.6875	1.75	4.1875	12763.5	112281502.25	107.0	5245.5	0.0	0.0	0.0	0.0	1403.5	679839.25	1	4	11843.295082	18892070.7545	5.81420765027	17.867120547	5.55737704918	13.3177461256	6.80327868852	27.4148526382	28551.6721311	222090460.177	142.846994536	6412.28260026	0.153005464481	4.2607423333	0.743169398907	1.33840962704	1912.19125683	327690.198394	95	183	11535.7934272	20204929.0935	6.24882629108	21.1352685755	5.95305164319	14.4109413917	8.19718309859	31.5667526284	17191.42723	84750441.9067	126.605633803	5545.61912319	3.6103286385	133.909189094	1.5117370892	4.00573078534	1899.45070423	401275.787476	105	213	12212.4809524	23354157.3115	6.68571428571	22.7202721088	6.00952380952	13.961814059	8.22380952381	28.5594331066	17857.5595238	82592023.1512	168.969047619	4446.65856576	5.41428571429	105.999795918	0.47380952381	0.38264739229	1860.3047619	398118.30712	213	420	9536.8681592	12533691.7861	2.18407960199	5.23974654093	5.58457711443	12.6906079057	13.2313432836	67.3818036682	19176.3208955	102989166.541	35.0422885572	2531.7270674	3.98507462687	147.074404099	2.46019900498	5.29816712458	1853.82587065	333161.691072	188	402	9613.88785047	11503323.6884	2.08411214953	3.60974757621	5.42056074766	9.81378286313	12.3271028037	49.9958074941	24327.2523364	122019323.684	64.9906542056	2663.69150144	1.80373831776	49.3913878941	2.09345794393	5.91649925758	1859.42990654	329781.048825	52	107	GOLD	IV	SILVER	I	
zhali	140	11421.5	16052378.5357	6.42857142857	24.8163265306	6.78571428571	8.3112244898	5.78571428571	10.0255102041	23007.3571429	77595255.2296	126.428571429	5616.24489796	4.85714285714	98.8367346939	0.0714285714286	0.0663265306122	1874.85714286	347920.979592	8	14	10286.8095238	18817475.2018	6.33333333333	20.126984127	5.90476190476	13.89569161	5.52380952381	18.4399092971	21576.1428571	137709974.599	105.428571429	5812.34013605	4.85714285714	83.074829932	0.190476190476	0.249433106576	1586.9047619	302313.419501	12	21	12477.4545455	7110336.42975	9.09090909091	21.7190082645	8.0	3.09090909091	7.90909090909	15.9008264463	17423.7272727	7063938.92562	155.818181818	1168.69421488	1.72727272727	29.8347107438	0.636363636364	0.595041322314	1997.72727273	72593.107438	4	11	12561.9615385	23499794.1652	7.92307692308	29.1992110454	6.76923076923	12.4082840237	7.51282051282	17.2498356345	18843.1538462	66831722.6943	173.282051282	5237.43326759	3.87179487179	76.6758711374	0.294871794872	0.284845496384	1809.6025641	361229.752301	45	78	8397.33333333	34985274.6222	5.26666666667	29.5288888889	6.06666666667	23.3955555556	9.46666666667	75.1822222222	17671.3333333	192692521.689	70.2	3158.29333333	1.2	20.16	0.4	0.506666666667	1462.0	887814.666667	5	15	8773.0	0.0	2.0	0.0	10.0	0.0	11.0	0.0	28554.0	0.0	34.0	0.0	16.0	0.0	0.0	0.0	2047.0	0.0	0	1	SILVER	V			
zGodChaos	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11879.5844156	17398426.5805	5.24675324675	11.4585933547	5.64935064935	8.14977230562	5.50649350649	12.8213864058	32315.4025974	216885575.851	178.116883117	5132.44088379	6.45454545455	127.390791027	1.20779220779	1.22954967111	1893.20779221	295517.697082	36	77	11879.15	9580729.3275	5.75	6.9875	6.65	11.6275	7.05	6.9475	23421.1	110214137.99	157.9	4010.99	3.6	78.34	0.8	0.76	1968.65	246126.0275	10	20	12646.5217391	11138492.7713	6.5	16.25	7.65217391304	13.8355387524	8.19565217391	17.9399810964	20284.673913	51566882.3067	169.739130435	1564.93194707	0.0	0.0	0.369565217391	0.406899810964	2067.52173913	219703.988658	23	46	9522.66071429	16945365.117	2.08928571429	2.5455994898	6.35714285714	8.94387755102	13.7321428571	91.5889668367	22289.1071429	141003118.346	25.3571428571	635.051020408	9.32142857143	473.075255102	1.16071428571	1.34917091837	1893.10714286	511806.131378	21	56	11315.9479167	17672073.091	4.32291666667	10.7394748264	5.46875	9.10319010417	8.67708333333	31.9269748264	30089.8854167	232578212.143	144.302083333	6425.48166233	5.03125	155.280273438	0.854166666667	0.749565972222	1937.88541667	399532.893121	49	96	BRONZE	II	SILVER	IV	
zGabiss	24	10325.5	557262.25	5.0	1.0	7.0	1.0	3.0	0.0	32871.0	8678916.0	24.5	6.25	0.0	0.0	0.0	0.0	2043.5	6480.25	0	2	15736.0	23892544.0	10.5	20.25	3.5	0.25	10.0	16.0	37598.5	158017470.25	240.5	3660.25	0.0	0.0	1.0	0.0	2292.0	165649.0	1	2	10322.0	3605643.8	2.3	1.81	4.5	7.65	12.9	35.09	10573.8	11113091.76	24.0	118.4	0.0	0.0	0.6	0.24	2018.5	87202.45	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8385.33333333	22637916.8889	1.77777777778	2.61728395062	4.11111111111	5.87654320988	11.6666666667	99.5555555556	15970.2222222	111505240.84	25.4444444444	520.24691358	0.0	0.0	1.66666666667	1.33333333333	1716.66666667	786917.777778	3	9	5308.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	12526.0	0.0	28.0	0.0	0.0	0.0	1.0	0.0	1393.0	0.0	0	1	BRONZE	I			
zfusxXxca	43	11355.15	13068820.2275	6.9	31.19	6.85	9.0275	5.2	8.56	24041.05	83847336.3475	169.05	3291.8475	4.55	68.4475	0.55	0.4475	1796.05	210984.8475	5	20	12527.1428571	18011634.6939	7.64285714286	37.3724489796	7.78571428571	7.3112244898	5.35714285714	8.80102040816	26039.1428571	113835301.551	149.785714286	3937.0255102	0.928571428571	11.2091836735	0.357142857143	0.229591836735	1840.85714286	140520.979592	7	14	16336.2	31582720.16	8.6	21.44	9.2	2.96	9.4	5.04	24679.4	58609205.04	201.8	16895.76	12.2	224.16	1.2	2.16	2270.0	225696.8	3	5	14119.75	1872374.6875	6.25	19.6875	6.0	6.5	12.5	1.25	22919.5	98106632.25	151.0	5141.5	8.75	229.6875	0.75	1.6875	2068.5	190230.75	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SILVER	IV			
zfelicioluiz	17	20165.0	0.0	13.0	0.0	11.0	0.0	13.0	0.0	52383.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	3211.0	0.0	0	1	5933.0	0.0	0.0	0.0	8.0	0.0	5.0	0.0	22521.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	1446.0	0.0	0	1	10562.0	0.0	7.0	0.0	10.0	0.0	1.0	0.0	28011.0	0.0	166.0	0.0	8.0	0.0	0.0	0.0	1843.0	0.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6153.0	4171938.5	1.5	1.25	4.75	8.6875	3.0	12.5	11597.0	67599765.0	13.0	99.5	8.5	216.75	0.0	0.0	1603.75	116784.1875	0	4	8069.5	12223497.45	1.8	1.96	4.2	5.76	7.9	38.49	19052.9	177602372.89	61.6	4211.84	4.0	71.2	0.7	0.61	1647.7	272238.21	6	10	BRONZE	II			
Zezé Polessa 115	93	13084.4166667	13037761.5764	7.75	9.85416666667	6.08333333333	6.24305555556	6.83333333333	27.9722222222	28604.25	80467244.3542	93.0833333333	4880.24305556	0.0	0.0	1.33333333333	0.388888888889	2095.83333333	105077.472222	6	12	10604.125	20963275.6094	4.6875	15.96484375	4.8125	8.65234375	6.9375	23.93359375	29875.25	254045159.813	61.8125	2927.65234375	6.3125	227.21484375	1.25	1.1875	1791.875	450484.359375	8	16	11604.0	17626391.3	5.55	8.6475	4.9	11.29	9.65	47.2275	16755.9	71326209.89	127.8	5585.76	7.4	181.54	1.2	0.46	1915.0	478965.3	12	20	12866.6578947	23368253.0145	7.68421052632	23.0055401662	5.23684210526	11.0228531856	7.55263157895	19.5630193906	17601.7894737	71372152.1662	194.631578947	4862.70637119	4.44736842105	44.9314404432	0.842105263158	0.343490304709	1892.52631579	357333.091413	20	38	9230.0	20811627.6667	2.5	3.91666666667	3.5	6.25	14.1666666667	70.8055555556	13893.0	68177425.3333	26.6666666667	282.888888889	0.0	0.0	1.16666666667	0.472222222222	1725.16666667	663443.138889	4	6	754.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	510.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	197.0	0.0	0	1	SILVER	II	SILVER	II	
zezos	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11409.5166667	14828271.8831	4.41666666667	9.74305555556	4.71666666667	12.3030555556	7.25	23.5541666667	32552.15	209213009.827	125.333333333	6252.68888889	23.15	635.0275	1.36666666667	1.06555555556	1896.5	309922.816667	30	60	12547.46	19800009.9684	6.58	17.6836	4.9	8.93	7.16	20.1744	26422.82	218575950.188	186.4	3816.0	15.4	540.2	1.06	0.5764	1921.46	314713.5284	23	50	11491.375	10605145.7344	4.625	9.734375	5.0	11.75	7.625	12.484375	17412.5	36178880.0	187.75	1563.9375	16.5	465.0	0.625	0.234375	1881.625	121965.484375	3	8	11354.9761905	18544654.5947	3.28571428571	9.63265306122	4.85714285714	12.3605442177	14.2857142857	48.156462585	20103.5952381	133710455.622	51.5	5001.77380952	28.5	1295.39285714	1.59523809524	1.24092970522	2026.21428571	381562.168367	27	42	10275.5813953	14558711.4527	3.0	4.97674418605	4.23255813953	7.89940508383	7.88372093023	24.93996755	25581.8604651	100188893.748	105.162790698	6285.85722012	14.6744186047	470.080043267	1.02325581395	0.627366143862	1810.46511628	287295.132504	20	43	GOLD	II	SILVER	I	
Zezoide	105	10797.9166667	20386549.5764	7.41666666667	17.4097222222	4.5	13.25	5.08333333333	5.74305555556	15343.1666667	82338841.1389	135.916666667	5922.90972222	0.0	0.0	0.0	0.0	1645.41666667	391883.243056	7	12	12270.6981132	13697722.4749	8.28301886792	23.5991456034	7.64150943396	14.0412958348	6.33962264151	17.1676753293	37993.3584906	224798241.513	165.849056604	2842.27910288	0.301886792453	4.73905304379	0.0188679245283	0.0185119259523	1939.16981132	293340.744749	21	53	10404.8974359	20332530.7587	6.69230769231	21.033530572	5.69230769231	12.4181459566	5.76923076923	17.9723865878	19732.2820513	93676991.5871	143.384615385	3635.31360947	3.25641025641	51.677843524	0.0	0.0	1587.79487179	367447.598948	19	39	16136.0	0.0	12.0	0.0	9.0	0.0	5.0	0.0	24825.0	0.0	218.0	0.0	10.0	0.0	0.0	0.0	1942.0	0.0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PLATINUM	III	GOLD	II	
Zezinoo	412	11986.4583333	17151276.9566	8.72916666667	22.9474826389	7.16666666667	13.7638888889	7.70833333333	18.8732638889	24942.1875	131146596.652	129.833333333	2753.55555556	1.89583333333	40.4266493056	0.291666666667	0.539930555556	1898.85416667	372046.707899	29	48	11827.7248322	17860955.8236	7.04697986577	17.7763163821	6.18791946309	11.0519345975	6.9932885906	19.711364353	25130.1275168	114568355.131	149.261744966	4363.22679159	1.52348993289	26.3702535922	0.281879194631	0.497725327688	1828.9261745	343581.182469	84	149	11212.8513514	10164100.2887	5.72972972973	11.4404674945	6.08108108108	9.66910153397	8.40540540541	26.4302410519	20131.9594595	63417952.2551	137.108108108	1642.33966399	1.91891891892	44.2366691015	0.216216216216	0.520818115413	1890.32432432	200727.165084	36	74	12219.804878	11711048.5473	7.46341463415	29.0779298037	7.41463414634	13.511005354	8.39024390244	19.4574657942	21308.6829268	67435613.3385	147.707317073	2243.03628792	0.658536585366	9.05413444378	0.0731707317073	0.116597263534	2028.63414634	166846.817371	15	41	9533.18918919	12343293.5318	3.06756756757	6.25219138057	5.52702702703	11.6817019722	13.9459459459	67.3214024836	22378.3108108	112789679.403	43.7297297297	1332.49452155	1.97297297297	79.2425127831	0.608108108108	1.34642074507	1869.39189189	329655.022096	34	74	10118.3076923	13742773.2899	4.61538461538	9.77514792899	4.65384615385	8.45710059172	10.7307692308	45.0428994083	27691.9230769	249087013.994	80.4230769231	2822.01331361	1.46153846154	26.8639053254	0.384615384615	1.39053254438	1808.84615385	368435.43787	16	26	GOLD	IV	SILVER	V	
ZezimVL	42	11341.0	6730256.0	7.5	14.75	6.75	23.1875	7.25	19.6875	19713.25	70962750.6875	130.75	901.6875	0.0	0.0	0.0	0.0	1942.5	190195.25	2	4	8683.25	13314381.9375	5.0	13.5	4.125	10.109375	5.125	16.609375	14186.375	39959321.9844	109.125	1775.859375	0.0	0.0	0.0	0.0	1545.5	340095.5	3	8	10720.0625	14044601.1836	5.625	13.984375	6.4375	9.24609375	6.125	11.359375	16784.1875	47943449.6523	151.375	3597.984375	0.0	0.0	0.375	0.359375	1841.8125	344927.527344	5	16	12536.7272727	19665392.562	7.63636363636	41.3223140496	5.54545454545	5.33884297521	10.0	24.7272727273	18956.7272727	63753216.562	159.818181818	1319.60330579	0.0	0.0	0.0909090909091	0.0826446280992	1883.72727273	149811.652893	8	11	11945.0	18023666.0	2.66666666667	4.22222222222	4.66666666667	1.55555555556	17.6666666667	80.8888888889	29026.6666667	34620788.2222	51.3333333333	384.222222222	0.0	0.0	0.333333333333	0.222222222222	2176.0	167724.666667	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SILVER	II			
Zevox	719	11072.0363636	18001689.0896	6.0	20.4	7.98181818182	13.4723966942	6.65454545455	22.9897520661	24995.6	113213739.622	94.6181818182	5665.39966942	2.92727272727	72.4310743802	0.8	1.54181818182	1913.70909091	309440.788099	24	55	10786.1123596	20298568.9686	5.91760299625	18.3377800222	6.03745318352	11.6015935137	5.88389513109	21.7805271501	25268.835206	181156867.748	124.872659176	6830.17854087	2.88014981273	64.6972464195	0.812734082397	0.856317243895	1789.79026217	381816.847396	137	267	10476.1027397	21231980.2703	6.28767123288	22.8898480015	6.26712328767	13.5519328204	7.40410958904	33.6928598236	16000.0616438	82462516.551	121.691780822	4153.04883655	4.6095890411	118.580455995	0.72602739726	0.774254081441	1775.52739726	455809.372537	70	146	10610.9565217	21088189.3459	5.32608695652	14.7414933837	6.69565217391	11.9508506616	9.82608695652	57.4914933837	17042.6304348	67320137.2765	119.369565217	4547.88516068	0.608695652174	9.71644612476	0.586956521739	0.98156899811	1776.67391304	430451.176276	23	46	8730.3625	15630420.2311	3.2125	10.29234375	4.75	11.3875	11.2	57.685	15911.1375	85688185.1686	46.1125	1939.14984375	1.7375	76.29359375	1.2125	1.59234375	1644.1875	479354.302344	44	80	10079.88	17864983.9616	4.112	14.403456	5.896	8.877184	10.072	49.266816	26619.392	199057600.718	81.336	4830.767104	0.808	17.483136	1.152	1.440896	1844.816	374944.790144	58	125	SILVER	IV	BRONZE	III	
