avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight	solo_q_tier	solo_q_division	flex_tier	flex_division
9508.55862069	1.68275862069	3.81379310345	14.3379310345	14573.7793103	28.7310344828	19.8896551724	4.52413793104	1853.97241379	10043928.6435	2.80405348346	6.10983345062	53.5778387677	42020849.4209	876.911125185	1016.03472359	7.86860583313	304590.767614	16.6827586207	28.724137931	PLATINUM	IV	SILVER	II
10755.734375	2.265625	5.84375	16.65625	19792.390625	31.703125	5.59375	0.171875	1868.765625	13472366.6365	4.20698748249	7.12978816526	81.494769783	82066313.6041	1206.53449974	81.2256324404	0.128223476891	302464.822009	8.15625	12.09375	GOLD	IV	SILVER	III
10997.265625	4.328125	4.953125	11.015625	18766.9375	127.421875	0.65625	0.375	1825.5625	12842658.2528	8.43608099493	7.29478635204	32.8125159439	65606534.3796	5325.01077806	5.2375	0.20234375	269679.460778	24.8125	38.3125	PLATINUM	II	GOLD	V
9871.20754717	3.07547169811	6.07547169811	15.1509433962	23920.6415094	37.6226415094	5.35849056604	2.83018867925	1922.39622642	9382785.49907	3.1171608266	9.55669362086	44.8912848158	103673429.008	177.069991015	328.999460916	2.15822102426	281503.93522	11.4339622642	24.320754717	PLATINUM	III	DIAMOND	V
9681.9804878	2.66341463415	6.64878048781	13.4243902439	19495.0926829	38.9804878049	5.95609756097	2.99024390244	1845.12195122	10569276.0878	5.59626839895	9.17156431001	51.3727459615	66135533.9249	1506.58680821	361.121357073	4.84410070939	243358.897033	18.0975609756	35.6829268293	SILVER	I		
10706.0740741	4.64814814815	5.24074074074	10.9814814815	16822.8703704	88.8333333333	6.0	1.35185185185	1848.25925926	13236053.0373	9.53902827559	8.97232178415	38.3389088013	57656091.8714	4371.30509508	227.335324572	0.818150139386	335300.034399	10.8518518519	22.8888888889	PLATINUM	IV	PLATINUM	V
9278.26984127	2.49206349206	7.14285714286	12.6507936508	22792.2698413	41.4126984127	0.793650793651	0.857142857143	1718.98412698	19860561.5188	5.81415343915	15.7371031746	69.1018518519	186302941.222	725.208664021	12.626984127	1.36375661376	526470.628638	4.73015873016	14.9047619048	GOLD	V	SILVER	I
9724.92307693	3.03076923077	5.87692307693	13.4307692308	21744.6769231	47.5230769231	1.69230769231	1.24615384615	1842.21538462	9160325.50831	5.5427090301	7.7562541806	45.63	78175196.1949	1114.32107023	51.9110367893	2.04003344481	283379.266956	16.7692307692	33.6153846154	DIAMOND	V	GOLD	I
9286.61170213	1.31914893617	5.1329787234	14.6276595745	17071.106383	17.3138297872	13.7872340426	2.09042553191	1830.14893617	8566780.01586	1.66955919376	8.13887612831	59.7162007614	59065608.3996	130.307752199	632.587651209	2.66172093273	226261.761714	13.4468085106	24.6914893617	GOLD	IV	SILVER	II
9018.79787234	1.72340425532	5.56382978723	13.5744680851	18615.3085106	22.4787234043	3.79787234043	0.0744680851064	1743.15957447	9376559.48407	3.59208440791	9.10262733721	41.2587591339	68771289.6457	97.0770591555	66.3403932947	0.101998710509	293871.211545	11.1595744681	19.2340425532	PLATINUM	II		
9506.25	2.63	5.17	14.09	19286.49	41.39	2.55	2.27	1808.91	15848097.1196	6.30892876344	8.31326344087	78.675297491	113400126.886	1903.70652554	173.457894265	2.66964560932	437481.378318	13.52	26.82	PLATINUM	III	PLATINUM	IV
11386.6956522	5.50724637681	4.6231884058	10.7101449275	17634.9565217	117.275362319	4.79710144928	1.34782608696	1846.20289855	13148814.4146	14.1919764755	7.6261289645	35.800042008	64816010.7083	5405.21403067	174.016803193	2.31379962193	307025.813905	46.0	69.0	BRONZE	III		
9973.10344827	2.39655172414	7.03448275862	13.8103448276	22352.1034482	44.0172413793	4.44827586207	0.844827586207	1862.18965517	10484430.8596	2.96686291001	11.1213624895	36.946509672	83920870.9267	684.977544155	86.1455004208	0.684650967199	295701.432675	20.5862068966	31.2068965517	GOLD	V		
