avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight	solo_q_tier	solo_q_division	flex_tier	flex_division
12260.3157895	5.98684210526	7.19736842105	6.73684210526	19675.3947368	180.894736842	2.11842105263	0.5	1874.90789474	12887641.0255	10.5539136302	9.57196356276	11.1242577598	62542210.4559	3391.93650472	22.4808367072	0.696828609987	219551.219703	2.03947368421	5.26315789474	PLATINUM	III	PLATINUM	IV
11404.0689655	6.53448275862	5.58620689655	7.6724137931	17429.2931034	156.24137931	3.17241379311	0.827586206897	1819.25862069	15926754.8881	12.9589211076	6.10101880878	20.8706112853	39452589.7623	2794.7132837	28.9232758621	0.469226750261	308678.155238	4.1724137931	7.86206896552	BRONZE	III		
11717.5779816	5.85321100917	5.62385321101	6.4495412844	18634.1376147	183.550458716	0.669724770642	0.0275229357798	1769.25688073	24540717.2638	18.0744956034	11.9644330065	15.5290074278	87385773.9982	7136.10570861	4.739469271	0.0088876146789	450948.763668	14.5137614679	23.2568807339	GOLD	V		
10038.7575758	2.9494949495	5.80808080808	10.7575757576	16262.979798	36.6262626263	2.28282828283	2.0303030303	1826.05050505	14706699.5929	4.38358239684	11.0106621773	40.4157984972	68392291.7164	918.397637085	118.623671783	3.82316673226	401771.034693	11.9191919192	24.9393939394	BRONZE	II	BRONZE	IV
12031.7483444	7.54966887417	5.34437086093	7.69536423841	16937.8211921	158.443708609	1.92052980133	0.854304635762	1849.40397351	13934179.7917	20.8326808077	8.52871053973	23.5018244341	53863260.5658	2858.93622873	43.3753437254	0.752469370492	267085.695263	42.8079470199	77.582781457	SILVER	II	SILVER	II
12141.0136986	6.97260273973	5.67123287671	8.16438356164	18059.0410959	164.342465753	6.56164383562	0.945205479452	1934.04109589	8108984.05438	15.4961643836	7.10885844749	22.441826484	47135815.5762	1913.11917808	130.308675799	1.87607305936	143960.4121	20.3424657534	35.602739726	PLATINUM	V		
11353.3703703	5.32098765432	5.69135802469	7.66049382716	20162.3148148	157.438271605	1.64197530864	1.38271604938	1846.2037037	18874396.5369	15.1104373436	9.73568373853	26.1080175829	92754073.7919	4732.91423884	32.2728024269	1.63676653103	396701.299729	20.1111111111	38.012345679	PLATINUM	II	PLATINUM	V
11876.5803109	8.28497409327	6.47150259067	7.03626943005	20258.4663213	154.119170984	6.13471502591	1.67875647668	1829.00518135	16940370.5929	19.7696140414	12.3291717875	16.0917773411	72186863.1479	3259.55544569	128.345324596	2.10969689299	325331.324723	60.5284974093	115.549222798	BRONZE	II	BRONZE	IV
13000.9489796	7.20408163265	6.33673469388	7.39795918368	20119.255102	186.316326531	1.07142857143	0.0714285714286	1909.44897959	13590065.2997	19.6263799806	6.3626627794	17.8074052478	36934724.6932	3501.60551992	8.99494169096	0.0256559766764	194317.093727	5.60204081633	11.2244897959	GOLD	V		
12388.25	8.05263157895	6.22368421052	6.40789473684	18188.2763158	173.013157895	7.59210526316	0.736842105263	1869.14473684	11300097.2758	21.0581687061	7.97672858616	14.299247506	42798845.2113	2143.80791071	127.589374171	0.352319524301	188033.965276	6.85526315789	11.9473684211	PLATINUM	III	PLATINUM	V
12524.9787234	7.06382978724	5.1914893617	8.14893617021	16319.6276596	152.872340426	2.79787234043	0.63829787234	1873.34042553	13437415.1414	13.3705489546	6.96891406466	14.5714015152	42687769.1961	2545.45643421	103.581265543	0.337946140739	271846.730717	4.93617021277	8.44680851064	BRONZE	IV	BRONZE	III
12624.9910314	7.30044843049	5.86098654709	6.47085201794	20707.2780269	185.66367713	6.08968609866	0.412556053812	1840.87892377	14566304.3937	17.2845441072	8.22837293804	14.6138936388	65453365.7806	3177.83497889	129.989880143	0.450445767242	220245.894437	9.82062780269	20.264573991	PLATINUM	V		
11583.9056604	6.27830188679	5.98113207547	8.2358490566	17272.4433962	127.141509434	3.62735849057	1.51886792453	1907.4764151	18377853.3496	17.3177770081	12.7887548117	26.0477377706	74136414.0648	2520.99881496	113.229999246	2.29877056905	363568.887527	17.5660377358	33.2735849057	GOLD	IV	GOLD	IV
12547.46	6.58	4.9	7.16	26422.82	186.4	15.4	1.06	1921.46	18954122.4974	17.2752631579	8.52157894737	19.1160233918	169207521.368	3599.88631579	478.991578947	0.559005847953	294142.100585	13.84	30.6	SILVER	V	SILVER	V
11212.8513514	5.72972972973	6.08108108108	8.40540540541	20131.9594595	137.108108108	1.91891891892	0.216216216216	1890.32432432	8156031.57078	8.64745817246	7.19510939511	19.5055984556	39331668.2982	1256.72541828	37.9377734878	0.425836550837	169549.500804	2.67567567568	5.89189189189	BRONZE	II	SILVER	IV
10476.1027397	6.28767123288	6.26712328767	7.40410958904	16000.0616438	121.691780822	4.6095890411	0.72602739726	1775.52739726	18271322.0933	18.7397442202	11.4470040332	28.2040400638	70349635.6453	3427.13822433	97.4703166104	0.700376969609	404970.703602	8.67123287671	15.8630136986	PLATINUM	V	SILVER	III
12423.8313253	9.7108433735	6.69879518072	7.12048192771	17000.1445783	137.168674699	1.73493975904	1.07228915663	1935.73493976	25953364.9061	38.3248995984	9.74568273092	18.5826305221	57377296.2108	3286.39239458	45.3204819277	1.01375502008	398669.023795	8.40963855422	16.8313253012	SILVER	V	BRONZE	II
11428.9351145	6.48854961832	5.01526717557	7.56488549619	16327.8549618	158.450381679	7.31297709924	1.53816793893	1790.02671756	14741587.442	14.2325415719	7.3024739665	21.2806933653	46039130.5288	2708.10470913	72.4756252405	1.29848996824	275907.369216	14.9580152672	27.5801526718	SILVER	V	BRONZE	II
12870.0820896	7.70149253731	6.5	9.11194029851	20489.9776119	167.119402985	8.79850746269	0.39552238806	1938.47014925	20196903.9559	24.9108932947	11.0410447761	20.8755290711	74299336.6637	4490.01559367	163.101191802	0.358487413678	341049.637169	72.0	134.0	SILVER	III	BRONZE	IV
12217.3125	8.20535714286	7.1875	7.21428571428	22495.9553571	151.571428571	2.91964285714	0.491071428572	1905.97321429	13661520.1259	20.8327044359	9.83183460886	17.845629606	76166429.8543	2373.99516369	29.7643636622	0.326886692177	215855.032249	7.96428571429	14.3035714286	SILVER	III	BRONZE	I
12758.9090909	7.98181818182	4.67272727273	7.81818181819	20343.3818182	189.454545454	18.7818181818	1.45454545455	1831.01818182	9662511.50551	19.4720437457	5.70141676505	12.5476397606	50868806.61	1848.79099401	185.876797365	0.697315603057	101105.354276	11.1454545455	16.5272727273	SILVER	III	BRONZE	II
11448.584	6.144	5.816	8.928	17694.032	119.104	0.848	0.928000000001	1885.8	12827602.7504	12.5288218881	10.1641597327	20.6901062657	58465380.9503	2421.34522957	11.3049396825	0.782036925648	253956.000333	12.152	18.6	PLATINUM	IV		
12359.3055555	7.49074074074	5.73148148148	6.73148148148	24109.0277778	182.416666666	7.30555555555	0.203703703704	1810.32407407	16114502.3091	14.4162788857	6.41411245647	14.6329653371	106996614.412	3746.42630382	101.8690349	0.110337527699	279579.424274	10.0	16.8518518519	PLATINUM	II	PLATINUM	III
11482.4955752	6.18584070797	5.34513274336	8.85840707965	16615.9646018	130.504424779	0.495575221239	0.256637168142	1840.36283186	17823896.9507	13.4402514398	9.02433909257	29.5397710353	80190626.5381	3553.83788734	7.4420564686	0.265756426464	392193.761319	9.16814159292	16.610619469	SILVER	III	GOLD	IV
12147.8219178	6.8904109589	6.04109589041	7.61643835616	17864.630137	183.493150685	9.08219178083	0.726027397261	1777.65753425	14043715.0328	18.037599499	7.97084981028	18.8141115554	50027824.8778	3485.62276478	116.333140344	0.97339509005	206860.839772	7.30136986301	12.397260274	SILVER	IV		
10756.2786885	3.68852459016	4.90163934427	12.6721311476	17924.7131148	38.6147540984	3.72131147541	5.38524590164	1972.54098361	10217114.9683	5.25746552173	7.53705698673	30.5324381993	61129339.183	852.450634921	193.910759823	5.53416861827	272680.724059	25.893442623	45.0819672131	SILVER	V	BRONZE	IV
12127.42	5.94	6.3	6.4	22730.6	185.38	1.36	0.16	1907.82	20378100.4557	16.8463809524	11.6954761905	12.7401904762	128760384.709	4818.12666667	3.73333333333	0.0845714285714	379809.725667	5.52	11.28	PLATINUM	V	GOLD	II
11930.7403846	8.41346153847	8.48076923077	5.91346153846	22425.5961538	161.461538462	2.03846153846	0.451923076923	1761.56730769	14831301.6093	21.1989838287	10.078467366	13.3726216492	81068681.2426	3005.1313192	29.4178503788	0.472093531469	261878.610318	4.42307692308	10.5192307692	PLATINUM	V	GOLD	I
10941.0952381	7.16666666667	5.10714285714	6.39285714286	14153.2380953	153.857142857	4.36904761905	0.369047619048	1699.32142857	17709419.7103	16.4786926945	9.2104056985	20.8303184462	41082641.233	3085.36613477	83.7830627033	0.28972986296	338585.426553	9.45238095238	17.4285714286	PLATINUM	IV		
12734.1	7.61428571429	4.21428571429	6.7	16648.8714286	189.2	5.34285714286	0.271428571428	1814.17142857	15264174.1272	16.8177891157	4.24676870748	13.935266876	40723154.5155	3553.98231293	81.8383935112	0.172106227106	220398.490243	5.12857142857	9.62857142857	GOLD	III		
13046.0109489	7.9197080292	4.81751824818	6.50364963504	16839.4890511	200.04379562	3.88686131387	1.44525547445	1878.12408759	19926827.8049	22.8755861936	6.97495090242	16.1166025526	50877152.5847	4516.88728806	91.2544789096	1.13503509319	296699.622362	64.200729927	110.715328467	PLATINUM	V	SILVER	III
13583.1029412	8.48529411764	4.07352941177	6.39705882353	14929.25	213.926470589	4.29411764705	1.57352941177	1996.85294117	20988527.0657	26.8802182163	7.04554079696	12.380455408	38851641.2306	4694.97343454	103.687855787	0.67220113852	300059.33776	34.6764705882	56.6764705882	SILVER	I	SILVER	III
9837.78350518	2.82474226804	4.1237113402	8.32989690722	12146.6082474	61.6804123712	8.77319587629	2.36082474227	1860.37113402	18634853.5585	3.69574579147	8.63558658489	32.6381312802	44594134.4234	1678.71310192	378.153116708	1.66488320501	444302.591848	37.0206185567	65.2268041237	BRONZE	II	BRONZE	V
11462.2941176	6.52941176471	5.97058823529	6.38235294118	25778.1078431	159.68627451	9.96078431375	0.00980392156861	1815.48039216	20966585.4334	19.742275409	11.7084801907	15.4485267609	160785869.813	5264.70295899	74.5210477875	0.00965759438102	349186.800221	26.4803921569	49.4705882353	BRONZE	V	BRONZE	I
12411.762963	7.48148148148	5.92592592592	6.82962962963	21094.6296296	180.518518519	8.32592592593	0.377777777778	1896.08888889	15333658.7405	15.6641241629	8.14244866245	17.4972757027	77609706.7399	3768.30319164	107.587271987	0.306451943119	272255.203859	13.1851851852	25.4740740741	GOLD	V	BRONZE	I
12561.0169491	8.18644067797	5.38983050847	5.61016949153	17062.6949152	188.966101695	1.01694915254	0.305084745763	1859.33898305	21044875.2229	21.8122555411	9.0916992612	14.5067362017	63081329.302	4160.61451543	16.9674054759	0.226640591047	336966.253803	14.0508474576	28.8983050847	GOLD	I	SILVER	III
12762.58	8.13000000001	7.95	7.4	20759.31	187.29	6.23	2.19	1828.59	17326159.0016	23.7468012422	11.4941407867	16.2225621118	65398282.1947	3660.72695135	141.280238095	1.71018115942	270380.007355	16.19	26.76	SILVER	V		
12682.4038462	8.67307692308	7.15384615385	7.59615384616	24485.7884615	161.173076923	4.0	1.71153846154	1823.40384615	11740600.3509	11.2547161172	8.14885531136	14.1127289377	74685918.2142	2238.1801282	48.8784798534	1.08745421245	223512.35815	3.82692307692	6.92307692308	BRONZE	III	BRONZE	III
12830.25	8.71296296296	6.43981481481	7.0	22488.537037	184.101851852	2.63425925926	0.708333333333	1876.34722222	18558134.0776	22.4429456603	9.94035170078	18.4495312815	122771423.414	4424.46327448	35.6277105096	0.571444861723	321964.283445	18.212962963	28.7777777778	SILVER	IV		
11448.9591837	5.85714285714	4.42857142857	7.05102040816	16538.2755102	151.93877551	0.0	1.41836734694	1891.2244898	15096107.9548	15.1274201988	6.06219256933	19.2785714285	52437734.5584	3033.96330456	0.0	0.620107273678	272390.576151	38.5204081633	62.7959183673	GOLD	IV	SILVER	V
