avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight
13477.7172775	8.62303664922	6.05759162304	6.03141361257	21591.6701571	204.235602094	1.05759162304	0.0261780104712	1869.65968586	19077121.7211	28.5537380595	6.76851202898	11.5465964228	67521392.5478	4262.3105929	6.22800140523	0.022846263684	213043.371826	9.13612565445	20.3403141361	
13358.4514768	7.88607594937	6.78481012658	7.78481012658	23011.1012658	199.042194093	6.20675105485	1.4135021097	1874.67510548	21111734.5938	24.6828255582	9.76980735691	16.9555246606	91237427.8334	3976.60385013	112.551443496	0.669185708012	300137.971127	14.805907173	27.1181434599	
12985.5178571	10.0535714286	6.17857142857	8.51785714286	21282.0535714	161.142857143	5.85714285714	0.0357142857143	1836.60714286	26074703.8924	40.693968254	9.77994047619	20.7976190476	114832376.331	3472.2618254	55.4448214286	0.0335119047619	364407.67244	10.375	15.7857142857	
12941.6096096	8.21621621621	5.6966966967	6.55855855856	19248.990991	181.702702703	3.1981981982	0.24024024024	1847.45345345	25818506.4553	25.7826582453	9.63381151325	17.7702992602	81179575.363	5721.67165495	92.4808155989	0.238632634809	414798.405099	30.3693693694	55.6066066066	
14145.7727273	10.696969697	6.9696969697	6.43939393939	23521.0151515	179.348484848	2.75757575758	0.090909090909	1921.93939394	20878579.626	25.0441558442	11.2921225239	14.8617473436	88371527.0983	4089.502053	32.3471041585	0.0951265905812	328271.65186	7.60606060606	11.7575757576	
11443.3544304	6.87341772152	7.36708860759	7.16455696203	21469.0632911	146.936708861	8.63291139241	0.784810126582	1783.69620253	17851042.8945	26.7367389658	11.1781772575	18.7560994454	65849388.4823	3091.33055661	73.9981804091	0.422049353447	277409.868093	6.21518987342	12.7215189873	
13077.1672355	7.7337883959	4.81228668942	7.10921501706	17257.5017065	205.883959044	5.47098976109	0.160409556314	1857.98634812	18095743.8362	25.3454364159	6.93849719942	15.7928821162	58040877.3952	3800.6339907	97.7688140534	0.151751384642	240153.617661	20.0102389078	35.9965870307	
12744.9052925	7.41504178273	6.02228412256	6.93871866295	19522.1086351	188.064066852	2.9582172702	0.259052924791	1844.52367688	19491970.8427	21.7040597168	9.45741930926	17.8682124504	68620440.7396	4032.79333117	67.3198558726	0.260142170678	291137.565178	22.7688022284	43.713091922	
12219.0143198	6.68973747017	6.0	8.22434367542	17859.4128878	169.062052506	5.42720763722	0.474940334129	1861.14081145	22115043.6945	21.4750036142	13.3083361445	26.4056000484	79804115.0767	4075.31692587	64.0296411749	0.370079136947	384146.348337	49.7804295943	92.2840095465	
12561.9615385	7.92307692308	6.76923076923	7.51282051282	18843.1538462	173.282051282	3.87179487179	0.294871794872	1809.6025641	20324520.3392	22.4261352963	10.7883147835	15.4079188973	60987477.2945	4330.68591798	49.8421075186	0.251777496008	330076.34627	5.02564102564	9.0	
