avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight	solo_q_tier	solo_q_division	flex_tier	flex_division
11684.7131148	5.81967213115	5.27049180328	6.81967213115	29542.147541	150.204918033	7.05327868852	1.68852459016	1806.00409836	17236276.8715	12.7584415243	7.358374276	20.8633129166	264644120.807	3319.98807273	194.690817251	1.62252801843	312148.344064	12.8729508197	22.1639344262	PLATINUM	IV	SILVER	II
10152.9142857	4.34285714286	4.25714285714	5.64285714286	22897.0857143	67.7	8.21428571429	2.44285714286	1685.85714286	22524563.7929	12.4225790316	7.76410564226	22.5962184874	138134060.481	1654.02734094	194.263795518	2.34332733093	483308.947119	9.42857142857	20.4285714286	GOLD	IV	SILVER	III
11098.0517241	6.3448275862	6.79310344827	7.6724137931	28949.8793103	69.7068965516	2.36206896552	0.0	1890.56896552	14787538.9443	19.5768037471	7.98693264848	21.0438504657	174136596.609	1746.8745856	13.7124691923	0.0	267903.646947	7.72413793103	22.0344827586	PLATINUM	II	GOLD	V
12325.9757085	9.4008097166	7.21052631579	5.42914979757	25236.4817814	154.538461538	1.2024291498	0.34008097166	1839.87449393	14712256.6069	27.2528732772	9.32518313872	11.9362176264	90878726.3182	2833.52990658	16.3404208908	0.262970922712	220055.405943	83.4129554656	149.129554656	PLATINUM	III	DIAMOND	V
13127.4387755	6.24489795918	6.34693877551	5.86734693878	28105.122449	218.918367347	0.214285714286	0.15306122449	1939.29591837	12750210.5359	14.9113768884	7.23902950791	12.4065222193	121146176.851	4064.5129826	1.78107606679	0.0854050711194	210274.971195	9.13265306122	15.7346938776	SILVER	I		
13895.3492064	9.30158730157	3.8253968254	6.34920634921	21873.8253968	118.634920635	0.0	0.650793650794	1954.07936508	15840441.8059	30.2914350925	5.14648822492	11.3024172632	61038894.7888	2352.72872112	0.0	0.587731388852	237820.96426	15.253968254	24.3650793651	PLATINUM	IV	PLATINUM	V
14370.5535714	11.8035714286	5.80357142857	6.55357142857	26312.6428572	137.660714286	0.0	0.375	1767.125	13757547.6486	34.6822204969	8.74666149068	7.91343167702	85989554.6935	5479.61746895	0.0	0.310947204969	168236.625233	31.8214285714	39.5714285714	GOLD	V	SILVER	I
12151.245283	7.35849056604	7.01886792453	8.20754716983	30357.4150943	87.8490566038	2.07547169811	1.81132075472	1852.9245283	10880366.8511	13.6121593291	5.89832285115	16.5524109015	116273374.745	870.421121593	13.9842767296	0.993710691825	205446.024109	4.88679245283	8.28301886792	DIAMOND	V	GOLD	I
11943.1376147	6.92660550459	7.38532110092	7.7247706422	27637.0825688	123.128440367	0.0	1.08256880734	1840.87155963	13970395.7023	15.7146463817	8.9580484939	16.2328151128	118653783.248	2590.59988955	0.0	1.49676617354	240368.266022	12.880733945	24.6330275229	GOLD	IV	SILVER	II
11617.0211268	6.66197183099	5.65492957746	7.18309859155	27624.4507042	104.049295775	1.61971830986	1.95774647887	1796.05633803	18477145.4576	15.2718708522	9.29747705347	23.4042570497	164390764.087	2367.45420882	37.2035417634	1.35927151878	349044.26096	14.7323943662	25.985915493	PLATINUM	II		
12106.53	6.26	7.31	6.67	32108.53	119.04	1.44	1.26	1847.25	19684288.8377	18.9021428571	14.7310815296	19.7693795094	212887948.1	2660.77460173	50.0417070707	1.61269336219	379485.101435	7.91	14.18	PLATINUM	III	PLATINUM	IV
12141.2253521	7.19718309859	5.81690140845	6.32394366197	31030.7605634	145.985915493	1.83098591549	0.253521126761	1818.71830986	21361289.1854	21.9862508384	10.4930818243	16.8377207691	266665243.813	3589.47881735	22.5782472614	0.269991057456	359997.802426	8.04225352113	12.2957746479	BRONZE	III		
11564.5217392	7.01630434782	3.90217391304	5.09239130435	20973.0543478	146.89673913	4.4347826087	0.788043478261	1819.6576087	20750438.2186	22.0887727177	5.92968835131	13.166713788	117538059.89	4907.27240472	107.13234246	0.546747855243	409341.478895	51.1304347826	103.858695652	GOLD	V		
10934.7571429	5.95714285714	4.51428571429	5.6	24141.4	91.8857142857	9.11428571428	0.8	1801.12857143	14409188.2562	10.6304875283	6.04938775511	10.457154195	77065095.8774	2013.28853742	92.0452380952	0.373174603175	288352.868299	2.88571428571	5.2	BRONZE	II	BRONZE	IV
11887.2300885	6.45132743363	6.91150442478	6.50442477877	27939.4424779	114.575221239	5.46017699113	2.09734513274	1868.47787611	11440813.3114	10.0395686289	7.31235056669	18.6794304515	111286591.617	2491.41032687	93.4691274647	1.35859517753	197539.806473	9.00884955752	18.4513274336	SILVER	II	SILVER	II
11719.7118644	5.91525423729	3.33898305085	5.84745762712	25862.7627119	151.830508475	2.37288135593	0.474576271186	1747.0	16183006.6936	10.1177894887	4.03863647154	16.580684138	198498969.81	4433.22510089	23.2886198547	0.300880691259	346780.572293	6.38983050847	8.59322033898	PLATINUM	V		
11486.8125	6.9375	7.16666666667	5.98958333333	29957.3333333	67.5208333333	0.968750000001	0.604166666668	1807.5625	14399900.2966	20.195920399	12.0887058543	15.7255828662	136193402.057	2182.6356907	37.0596064815	0.580894221519	256249.104216	8.53125	17.25	PLATINUM	II	PLATINUM	V
