avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight
9688.40384615	3.78846153846	7.15384615385	9.98076923077	26893.5192308	56.8846153847	2.76923076923	0.25	1857.88461539	16112980.029	7.13901653902	12.8052086802	64.6926795428	178719207.088	1346.67339882	55.607140082	0.109362859363	467255.17435	4.86538461538	12.9230769231	
9873.69620254	2.59493670886	5.0	13.7468354431	24594.4493671	50.9936708861	1.43670886076	1.29113924051	1854.79113924	12296548.0388	4.30841115636	8.35500575373	59.1118715146	173204476.65	672.658478652	56.1098355758	0.845357174472	365790.09233	17.082278481	29.3037974684	
10981.551948	4.28571428571	4.07792207792	10.0714285714	28879.8636364	88.6168831168	2.72077922078	0.896103896105	1795.98701299	13473810.0801	8.27794526902	5.23899196042	33.8942176871	177827532.376	2059.93561766	107.97987013	1.49167826221	270239.267096	20.7012987013	30.5454545455	
9723.89344262	3.13934426229	5.17213114754	11.7868852459	26392.9918033	67.9262295082	3.17213114754	1.18032786885	1820.91803279	14836369.5331	8.49984486215	10.3391059818	44.1804784072	192540009.955	2322.37821704	105.565486571	0.678085860194	425876.276859	20.1557377049	31.1475409836	
9754.16161616	2.11111111111	5.33333333333	12.595959596	24436.4646465	67.898989899	1.94949494949	2.26262626263	1888.85858586	10363943.992	2.87786657787	9.1075562119	43.9479732828	112678356.601	2085.620768	42.0419913419	4.67621159035	296876.131416	12.2828282828	24.5353535354	
11315.9479167	4.32291666667	5.46875	8.67708333333	30089.8854167	144.302083333	5.03125	0.854166666667	1937.88541667	15518280.9071	9.24051327129	7.42311410676	24.0256321973	167372408.075	5136.94112006	109.568975281	0.571953295207	329137.158938	6.4375	11.1666666667	
10079.88	4.112	5.896	10.072	26619.392	81.336	0.807999999999	1.152	1844.816	14772807.3022	10.0578604007	8.02379475525	39.5321612554	156969449.23	1784.15308802	15.8924570707	1.12763265068	336432.499663	7.56	15.992	
10259.5555556	3.90740740741	5.44444444444	9.20370370369	28308.7962963	94.9074074073	2.24074074074	0.833333333334	1842.38888889	14870862.0506	6.56610817166	7.44404027043	28.4125808348	212432036.754	2971.61813639	39.0538580247	0.501234567901	457359.940954	3.83333333333	6.14814814815	
9175.44	1.78	5.96	14.79	25495.16	38.15	1.49	0.69	1915.17	8491302.63982	2.27212484994	8.35333133253	59.521392557	119568970.157	301.86620048	63.0764525809	0.62631452581	237235.527059	21.9	38.46	
9901.55882355	2.77941176471	4.60294117647	13.0735294118	24320.8529412	77.7647058823	0.852941176471	2.7794117647	1739.76470588	13352715.3469	5.20387402974	7.98291873188	43.5574698401	135471014.612	1792.93763443	44.5235294118	3.06981436454	345680.870663	16.5882352941	25.9411764706	
