avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight
12224.4285714	9.19047619048	8.33333333333	6.7619047619	25473.6666666	139.301587302	0.730158730159	0.15873015873	1956.06349206	16592077.0386	21.3916423712	12.7930029155	14.4483317136	115334553.027	2147.38969874	5.83673469388	0.189828312277	339588.904438	21.6666666667	39.6666666667	
12442.5359116	8.41436464089	6.21546961326	4.99447513812	24558.762431	141.066298343	1.68508287293	0.0110497237569	1779.02209945	20860573.4568	27.2370388359	10.1771836359	11.6743688402	118826180.212	3929.78339683	12.961710734	0.0102341489082	332107.157346	15.5359116022	28.0939226519	
11686.2903226	8.62903225807	6.6935483871	6.56451612903	21727.2903226	127.032258064	10.0483870968	0.870967741935	1829.96774194	22614455.4613	29.9582693292	10.4486994367	18.7488786482	96873423.4955	2833.19049667	166.231894521	0.527270865335	374573.952381	6.62903225806	15.3870967742	
11326.9411765	7.62745098039	7.17647058824	6.17647058823	25777.2941177	126.607843137	10.5882352941	1.41176470588	1804.92156863	26646546.2742	18.3464255267	13.3522713433	17.202624528	185213985.861	4625.92473511	73.2058823528	1.11091828036	499521.03471	7.3137254902	14.8823529412	
13218.2820513	9.57264957265	5.19658119658	6.45299145299	26166.6581197	88.376068376	4.40170940171	0.384615384615	1964.94871795	13602799.2982	22.6645912627	5.66944403517	12.363384858	76946579.6106	1487.42279226	144.771690581	0.317292558725	222666.36527	9.99145299145	18.8974358974	
12508.2631579	8.84795321638	6.26315789474	5.23391812865	26166.5497076	155.029239766	2.68421052631	0.327485380117	1773.50292398	21375110.4174	28.9735569081	12.059454854	14.5860232592	138991052.023	3726.84395778	63.064518439	0.365787484584	315771.487604	35.2280701754	60.8596491228	
12696.1590909	7.25	4.68181818181	7.85454545455	32956.759091	67.0772727272	2.65454545454	1.24090909091	1939.08636363	18163478.1906	22.0760210045	10.8145513861	24.101523002	265394358.594	1696.74884597	74.4039566651	0.587953804016	312939.904293	103.359090909	172.627272727	
11072.0363636	6.0	7.98181818182	6.65454545455	24995.6	94.6181818182	2.92727272727	0.8	1913.70909091	15896327.1498	16.0909090909	12.0826873127	20.860992341	92481175.2986	2141.18799867	58.702077922	1.02055944056	290606.690559	3.85454545455	7.8	
11380.7741935	7.83225806452	5.72903225806	5.96129032258	23705.116129	107.587096774	2.70967741935	1.23225806452	1776.4	13990656.1022	22.1067500747	7.63112637942	12.9116963113	93171636.0292	1854.05043761	55.3074645573	0.908688987589	257150.642641	13.9161290323	26.1612903226	
11711.0071429	9.30000000001	7.33571428571	5.8	24190.3857143	123.05	2.5	0.535714285714	1840.85714286	19333767.1044	31.0044529594	10.553705142	16.3613743838	103673036.904	2656.34839207	28.9785110441	0.406494257622	345128.630865	13.0285714286	26.4714285714	
12163.8484849	8.68686868687	5.86868686869	5.36363636364	25540.5757576	135.303030303	6.76767676767	0.292929292929	1835.15151515	20167700.97	22.4340286927	7.54812932639	12.8998149194	106928873.191	4349.0427599	99.6876592006	0.27977915804	326067.09943	9.61616161616	21.0808080808	
11982.6131387	10.3211678832	8.9489051095	6.00729927007	27688.620438	105.905109489	0.270072992701	0.014598540146	1829.96350365	20641136.2336	34.5350035819	16.1284146622	13.017940328	145298460.064	2049.68838764	3.18870430964	0.0138498970616	379740.043981	10.4379562044	22.3576642336	
13409.509434	11.0754716981	5.22641509434	6.60377358491	27324.7358491	57.6226415094	0.0	1.64150943396	1929.49056604	9614003.54681	21.0621825109	11.340121553	7.67901850508	93895805.0368	835.434461177	0.0	1.24977322206	192604.107584	17.1132075472	22.8867924528	
11231.443038	6.44303797469	7.10126582279	6.01265822784	27191.3924051	65.4303797468	20.2784810126	1.44303797469	1867.4556962	18420474.0529	20.296886367	15.6960861341	13.7280954459	129118041.313	1036.66481886	189.295096756	0.931107231195	290987.407144	22.9620253165	45.8860759494	
13040.2118644	11.470338983	8.30084745763	5.20338983051	30802.7161017	88.7923728813	2.13559322034	0.262711864407	1857.03389831	16928028.3235	33.9401954218	11.4654202371	9.34825728825	119694028.543	1221.28258848	42.1622545063	0.249465938557	218426.282319	25.8389830508	45.4152542373	
13322.5	9.98076923076	5.5	6.80769230769	28873.1730769	126.673076923	6.51923076922	0.115384615385	1855.67307692	22660793.8854	30.6642246642	7.37148962149	15.8316544566	202377545.643	2071.67277168	54.4615384614	0.0741758241759	377909.909646	9.40384615385	13.6923076923	
11309.5877863	8.06106870229	5.45038167939	5.64885496183	21535.480916	135.526717557	13.0992366412	0.580152671757	1757.76335878	20560780.3433	21.0580325686	12.0930317297	18.633414248	109897019.855	3131.90596479	141.361609764	0.470052847915	407508.161765	16.4580152672	30.8625954198	
12757.3137255	10.7843137255	8.23529411765	5.62745098039	28139.8039216	100.431372549	2.17647058823	1.37254901961	1838.15686274	17574542.34	34.0024955437	11.9882798574	13.192513369	118847889.526	1281.89233512	36.2717023173	1.33172905526	249962.44443	4.35294117647	8.64705882353	
12642.7523365	10.5981308411	6.79906542056	5.7523364486	22628.5887851	149.322429907	3.79439252336	0.686915887851	1827.95327103	18326945.7588	31.2442308263	11.1444490408	16.503772875	84846569.3617	4225.04626366	61.9989242244	0.494987086607	302424.864574	42.1869158879	75.8411214953	
